"시점","구·군별",인구수  (명)
"2017","부산광역시",3520306
"2017","중구",46066
"2017","서구",111945
"2017","동구",90856
"2017","영도구",125347
"2017","부산진구",374504
"2017","동래구",271967
"2017","남구",279309
"2017","북구",305045
"2017","해운대구",417161
"2017","사하구",338112
"2017","금정구",248917
"2017","강서구",123079
"2017","연제구",207729
"2017","수영구",181725
"2017","사상구",234624
"2017","기장군",163920
"2018","부산광역시",3494019
"2018","중구",44852
"2018","서구",112621
"2018","동구",89144
"2018","영도구",121934
"2018","부산진구",365337
"2018","동래구",267735
"2018","남구",286093
"2018","북구",299547
"2018","해운대구",414611
"2018","사하구",332765
"2018","금정구",247725
"2018","강서구",128611
"2018","연제구",208844
"2018","수영구",178028
"2018","사상구",229010
"2018","기장군",167162
"2019","부산광역시",3466563
"2019","중구",44072
"2019","서구",110350
"2019","동구",90477
"2019","영도구",118628
"2019","부산진구",361044
"2019","동래구",272500
"2019","남구",280852
"2019","북구",293704
"2019","해운대구",411293
"2019","사하구",325951
"2019","금정구",243870
"2019","강서구",135048
"2019","연제구",210443
"2019","수영구",177897
"2019","사상구",223489
"2019","기장군",166945
